id,name,party,number,previous_has_pauta,coverage_label,previous_summary,summary,source_urls,research_paths,limitations,review_result
240002533818,Adilson da Saúde,PDT,1245,false,Documentação acessível insuficiente para uma síntese,Plataforma individual detalhada não localizada.,"Não foi possível confirmar pautas individuais com a documentação acessível nesta revisão, concluída em 21/09/2026. Isso não significa ausência de propostas ou de posicionamento da candidatura.",,"Busca pelo nome de urna, número e perfil adilson90671 | Segunda busca por adilsondesouza.souza e pelos demais canais declarados",Um dos perfis foi apresentado como privado; o outro não forneceu conteúdo programático legível. A palavra Saúde no nome de urna não é evidência suficiente de propostas.,revisado_com_lacuna
240002533814,Advogado Marco Buzzi,PDT,1233,false,Documentação acessível insuficiente para uma síntese,Plataforma individual não localizada.,"Não foi possível confirmar pautas individuais com a documentação acessível nesta revisão, concluída em 21/09/2026. Isso não significa ausência de propostas ou de posicionamento da candidatura.",,"Busca por Advogado Marco Buzzi e perfil advogadomarcobuzzi | Segunda busca por Marco Antônio Buzzi com Joinville, PDT e propostas; descarte de homônimos","Os resultados acessíveis descrevem trajetória e candidaturas anteriores, sem material programático individual suficiente. Atuação profissional não foi usada para inferir pautas.",revisado_com_lacuna
240002543043,Alan Alves Moreira,PSB,4033,false,Documentação acessível insuficiente para uma síntese,Plataforma individual não localizada.,"Não foi possível confirmar pautas individuais com a documentação acessível nesta revisão, concluída em 21/09/2026. Isso não significa ausência de propostas ou de posicionamento da candidatura.",,"Busca por Alan Alves Moreira, 4033 e candidatura federal SC | Segunda busca por propostas e pelo possível perfil alan.alves.moreira, sem assumir autoria não confirmada",O perfil localizado não forneceu conteúdo programático legível suficiente. Biografia de escritor ou presença em eventos não foi usada para inferir propostas culturais.,revisado_com_lacuna
240002541412,Amanda Wenceslau,UP,8000,true,Apresentação eleitoral sem data original informada,Investimento em educação pública; acesso e permanência de jovens trabalhadores na escola; educação técnica pública de qualidade.,"Na apresentação eleitoral consultada, defende mais investimento na educação pública, condições de acesso e permanência para jovens trabalhadores e educação técnica pública de qualidade.",https://unidadepopular.org.br/eleicoes/amanda-wenceslau,"Página oficial individual já vinculada e conferência de identidade | Releitura do texto programático específico, sem importar diretrizes gerais da UP",A página não informa a data original da publicação. Referência a jovens trabalhadores na educação não foi convertida em defesa genérica de toda pauta trabalhista.,revisado_com_evidencia
240002553721,Ana Paula Adão,PCO,2999,true,Apresentação eleitoral sem data original informada,Reversão de privatizações e reestatização; posição anti-imperialista.,"Na apresentação individual consultada, defende reverter privatizações e reestatizar empresas. Em política internacional, declara uma orientação anti-imperialista.",https://candidatos.pco.org.br/c/ana-paula-adao/,Portal eleitoral oficial e página específica da candidata | Releitura para distinguir posições individuais de diretrizes gerais do partido,"A data original não aparece na página. A síntese atribui a orientação internacional à própria apresentação, sem adotar avaliações ou alegações sobre terceiros.",revisado_com_evidencia
240002533824,Ana Paula Lima,PT,1313,true,Material de campanha de 2026,SUS e saúde; infraestrutura e prevenção de desastres; direitos das mulheres e combate à violência; enfermagem.,"Defende fortalecer o SUS, a atenção básica e os direitos da enfermagem. Apresenta como pautas o enfrentamento à violência contra mulheres, o atendimento do climatério pelo SUS e a proteção de meninas contra o casamento infantil. Também declara apoio ao fim da escala 6×1, à valorização do salário mínimo e à prevenção de desastres associada à justiça climática.",https://www.anapaulalimasc.com.br/,Releitura do site individual já cadastrado | Conferência das seções de propostas e da identificação eleitoral 2026,"As posições são declarações da própria candidatura. Alegações de autoria de leis, valores de emendas e resultados não foram convertidas em realizações verificadas nesta revisão.",revisado_com_evidencia
240002543042,Ana Sirino,PSB,4040,false,Material de campanha de 2026,Plataforma individual não localizada.,"Defende identificar precocemente a violência psicológica e patrimonial contra mulheres, integrar a rede de proteção e ampliar recursos para atendimento e medidas protetivas. Propõe qualificação profissional, autonomia econômica, assistência jurídica e acolhimento para vítimas, além de dados sobre essas formas de violência e ações contra a reincidência de agressores.",https://lancenoticias.com.br/noticia/mostra/a-violencia-nao-comeca-no-tapa-ana-cecilia-defende-prevencao-antes-que-seja-tarde/,"Busca pelo nome de urna, perfil anasirino40 e nome civil | Busca temática por Ana Cecília Sirino e violência contra mulheres; leitura do texto com declarações diretas",A fonte está na seção Imprensa e reproduz posições da candidata; números estatísticos citados nela não foram incorporados à síntese sem verificação independente.,revisado_com_evidencia
240002539586,Andre Drejan,UP,8080,true,Apresentação eleitoral sem data original informada,Direitos dos trabalhadores; baixos salários e custo de vida; reforma urbana e acesso à cidade.,"Apresenta a defesa dos direitos dos trabalhadores, o enfrentamento dos baixos salários e do custo de vida e a reforma urbana para ampliar o acesso à cidade.",https://unidadepopular.org.br/eleicoes/andre-drejan,Página individual da UP e nome Andre Drejan | Conferência do texto específico da candidatura e de entrevista anunciada pelo Diarinho,A apresentação não informa data original nem detalha instrumentos para cada prioridade. Nenhuma pauta foi deduzida exclusivamente da legenda.,revisado_com_evidencia
240002553720,Arthur Cesconetto,PCO,2929,true,Apresentação eleitoral sem data original informada,Fim dos vestibulares e livre ingresso nas universidades; jornada de 35h semanais; passe livre para desempregados e trabalhadores informais; liberdade de expressão e oposição à censura; posições anti-imperialistas em política externa.,"Defende ingresso universitário sem vestibular, semana de trabalho de 35 horas e transporte público gratuito para desempregados e trabalhadores informais. Também apresenta defesa da liberdade de expressão, oposição à censura e posições que define como anti-imperialistas em política internacional.",https://candidatos.pco.org.br/c/arthur-cesconetto-2/,"Portal eleitoral e página específica já cadastrada | Releitura individual e conferência de nome, estado e número",A página não informa a data original. As propostas não foram apresentadas como leis em vigor nem como medidas de eficácia comprovada.,revisado_com_evidencia
240002537837,Bia Alves,PSOL,5008,false,Documentação acessível insuficiente para uma síntese,Plataforma individual não localizada.,"Não foi possível confirmar pautas individuais com a documentação acessível nesta revisão, concluída em 21/09/2026. Isso não significa ausência de propostas ou de posicionamento da candidatura.",,"Busca por Bia Alves, Beatriz Alves, 5008 e perfil biaalves50_ | Segunda busca por manifestações individuais e conferência renderizada de uma publicação retornada pela pesquisa","Não foi possível confirmar uma síntese programática individual a partir do material acessível. Profissão, identidade e descrição de militância por outra pessoa não foram utilizadas para preencher pautas.",revisado_com_lacuna
